Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,54 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Приречная 26",Наурызбайский,3,100,Construction year: 1991
Отдельный дом ,75 000 000 〒,"Алатауский р-н, мкр Дархан, Мугалжар 39",Алатауский,5,185,Floor: 1;  Construction year: 2018
Отдельный дом ,200 000 000 〒,"Наурызбайский р-н, мкр Шугыла 3845 — Гимназия 200",Наурызбайский,5,240,Floor: 2;  Construction year: 2020
Отдельный дом ,62 000 000 〒,"Алатауский р-н, мкр Самгау, Жусанды 33",Алатауский,4,130,Floor: 1;  Construction year: 1997
Отдельный дом ,65 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, ПКСТ Шетен 112",Наурызбайский,4,130,Floor: 1;  Construction year: 2024
Отдельный дом ,68 000 000 〒,"Алатауский р-н, мкр Алгабас",Алатауский,5,180,Floor: 1;  Construction year: 2024
Отдельный дом ,47 500 000 〒,"Алатауский р-н, мкр Алгабас, Акыртас 6 — ЖК Жануя",Алатауский,5,180.8,Floor: 2;  Construction year: 2012
Отдельный дом ,58 000 000 〒,"Алатауский р-н, мкр Теректы — Апорт",Алатауский,4,140,Floor: 1;  Construction year: 2024
Отдельный дом ,61 500 000 〒,"Алатауский р-н, мкр Айгерим-2, Жана гасыр — Ниже Рыскулова",Алатауский,5,170,Floor: 1;  Construction year: 2021
Отдельный дом ,47 000 000 〒,"Алатауский р-н, мкр Мадениет — Аруана",Алатауский,3,105,Floor: 2
Отдельный дом ,67 000 000 〒,"Наурызбайский р-н, мкр Акжар 11 — Малинка 11",Наурызбайский,4,140,Floor: 2;  Construction year: 2007
Дача ,14 000 000 〒,"Наурызбайский р-н, мкр Карагайлы — С/т сандугаш",Наурызбайский,2,25,Floor: 1
Отдельный дом ,52 000 000 〒,"Турксибский р-н, Центральная линия",Турксибский,5,100,Floor: 2;  Construction year: 2008
Отдельный дом ,185 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 73/1 — Кыдырбекова",Наурызбайский,6,300,Floor: 2;  Construction year: 2022
Отдельный дом ,130 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 71 — Ильи а лапина",Наурызбайский,7,500,Floor: 3;  Construction year: 2011
Отдельный дом ,80 000 000 〒,"Наурызбайский р-н, мкр Таусамалы",Наурызбайский,6,320,Floor: 3;  Construction year: 2017
Часть дома ,33 000 000 〒,"Алатауский р-н, мкр Карасу, Мичурина 53",Алатауский,3,63,Floor: 1
Отдельный дом ,125 000 000 〒,"Медеуский р-н, Шакшак Жанибека 41 — Кутозова",Медеуский,6,208,Construction year: 2015
Отдельный дом ,31 500 000 〒,"Алатауский р-н, мкр Шанырак-1, Мкр Шанырак-1 ул. Ашекеева 1 — Завода LG",Алатауский,4,90,Floor: 1;  Construction year: 2016
Дача ,7 800 000 〒,"Медеуский р-н, мкр Кенсай, Мкр Кенсай,Пенсионер-1 105",Медеуский,1,16,Floor: 1;  Construction year: 2023
Отдельный дом ,125 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Мерген 40",Бостандыкский,5,181,Floor: 2;  Construction year: 1998
Часть дома ,14 000 000 〒,"Турксибский р-н, Паладина 20 — Сейфуллина Шугылга",Турксибский,2,75,Floor: 1;  Construction year: 1985
Отдельный дом ,26 000 000 〒,"Алмалинский р-н, Шафик Чокина 17 — Ташкентская Байзакова",Алмалинский,3,82,Floor: 1;  Construction year: 1970
Отдельный дом ,60 000 000 〒,"Медеуский р-н, Истомина",Медеуский,4,84.3,Floor: 1
Отдельный дом ,178 000 000 〒,"Турксибский р-н, мкр Кайрат, улица 24",Турксибский,8,245,Floor: 2;  Construction year: 2016
Отдельный дом ,77 000 000 〒,"Медеуский р-н, Алатауская трасса 33",Медеуский,5,168,Construction year: 2023
Часть дома ,45 000 000 〒,"Турксибский р-н, Василия Бартольда 55/2 — Василия Бартольда уг. ул. Амурская",Турксибский,4,80,Floor: 1;  Construction year: 1980
Отдельный дом ,78 000 000 〒,"Наурызбайский р-н, мкр Акжар, Весна 1 51",Наурызбайский,5,168,Floor: 2;  Construction year: 2014
Отдельный дом ,45 000 000 〒,"Жетысуский р-н, Шелихова — Станиславского",Жетысуский,5,104,Floor: 2;  Construction year: 1979
Отдельный дом ,58 000 000 〒,"Алатауский р-н, мкр Теректы",Алатауский,4,111,Floor: 1;  Construction year: 2021
Часть дома ,175 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Арман 139/2",Наурызбайский,5,330,Floor: 2;  Construction year: 2016
Отдельный дом ,67 000 000 〒,"Жетысуский р-н, улица Мартынова 30 — Федорова",Жетысуский,6,151.3,Floor: 1;  Construction year: 1957
Отдельный дом ,55 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 49",Наурызбайский,4,100,Floor: 1;  Construction year: 2007
Отдельный дом ,165 000 000 〒,"Медеуский р-н, мкр Думан-1 41 — Бурабай",Медеуский,7,380,Floor: 2;  Construction year: 2012
Часть дома ,27 000 000 〒,"Алатауский р-н, мкр Боралдай (Бурундай) — Ақжолтай көшесі",Алатауский,4,100,Floor: 1
Отдельный дом ,21 000 000 〒,"Жетысуский р-н, Ногайбаева 82 — Сейфуллина Рыскулова",Жетысуский,3,64,Floor: 1;  Construction year: 1980
Часть дома ,20 000 000 〒,"Жетысуский р-н, Логовая",Жетысуский,3,53,
Отдельный дом ,13 500 000 〒,"Алатауский р-н, Квартал 13 44 — В конце улицы Байсеитова",Алатауский,3,50,Construction year: 2023
Отдельный дом ,50 000 000 〒,Наурыз 215,,4,110,Floor: 1;  Construction year: 2020
Часть дома ,40 000 000 〒,"Алатауский р-н, Федченко 16",Алатауский,3,59,Floor: 1
Отдельный дом ,78 000 000 〒,"Алатауский р-н, мкр Алгабас, Жеты қазына 22",Алатауский,5,120,Floor: 1;  Construction year: 2006
Отдельный дом ,120 000 000 〒,"Ауэзовский р-н, мкр №11, Мкр 11 солнечная 71 — Касаткина",Ауэзовский,5,300,Floor: 2;  Construction year: 2006
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Рахат 14 — Магазин Жумабай",Алатауский,4,130,Floor: 1;  Construction year: 2019
Отдельный дом ,125 000 000 〒,"Наурызбайский р-н, мкр Карагайлы",Наурызбайский,5,231.9,Floor: 2;  Construction year: 2010
Отдельный дом ,30 000 000 〒,8 квартал 145,,3,50,Floor: 1;  Construction year: 2022
Отдельный дом ,75 000 000 〒,"Медеуский р-н, Курортная 220",Медеуский,4,235,Floor: 3;  Construction year: 1995
Часть дома ,30 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Мкр Карагайлы М. Татимова 43 — МТФ",Наурызбайский,3,100,Floor: 1;  Construction year: 1972
Часть дома ,27 000 000 〒,"Жетысуский р-н, Корнилова 13 — Пр.Рыскулова уг.ул.Крылова",Жетысуский,4,110,
Отдельный дом ,15 000 000 〒,Панфилова 24,,6,120,
Отдельный дом ,47 000 000 〒,"Алатауский р-н, мкр Алгабас, Мкр Алгабас инабат 5 5 — Инабат 5",Алатауский,4,100,Floor: 1
Отдельный дом ,44 700 000 〒,"Алатауский р-н, мкр Карасу, Ул.Озёрная",Алатауский,5,120,
Часть дома ,35 000 000 〒,"Алатауский р-н, мкр Карасу, Бабатайулы 122 — Котеджный городок карасу",Алатауский,4,75,Floor: 2;  Construction year: 2019
Часть дома ,38 000 000 〒,"Ауэзовский р-н, мкр №11, Владимира толокольникова 46 кор.1",Ауэзовский,4,72.3,Floor: 1;  Construction year: 1970
Отдельный дом ,34 500 000 〒,"Алатауский р-н, мкр Мадениет, ул Мухит Миралыулы 28",Алатауский,3,100,Floor: 1;  Construction year: 2017
Отдельный дом ,26 000 000 〒,Огонёк — Аксенгир,,3,80,Floor: 1;  Construction year: 2015
Отдельный дом ,60 000 000 〒,"Турксибский р-н, Толегена Тажибаева — Гёте -Хмельницкого",Турксибский,4,100,Floor: 1;  Construction year: 1993
Отдельный дом ,210 000 000 〒,"Медеуский р-н, мкр Горный Гигант, Жамакаева 182",Медеуский,7,400,Construction year: 2005
Отдельный дом ,82 000 000 〒,"Наурызбайский р-н, мкр Акжар, СТ Арман — Султанбаева",Наурызбайский,5,185,Floor: 2;  Construction year: 2011
Отдельный дом ,300 000 000 〒,"Медеуский р-н, мкр Тау Самал 13 — Оспанова",Медеуский,6,400,Floor: 4;  Construction year: 2010
Отдельный дом ,12 500 000 〒,Кульджинский тракт,,3,38,Floor: 1;  Construction year: 2024
Отдельный дом ,130 000 000 〒,"Ауэзовский р-н, мкр Достык",Ауэзовский,9,432,Floor: 2;  Construction year: 1996
Отдельный дом ,70 000 000 〒,"Медеуский р-н, Есенберлина — Грузинская",Медеуский,3,117,Floor: 2;  Construction year: 2003
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2",Наурызбайский,6,280,Floor: 2;  Construction year: 2014
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2",Наурызбайский,6,280,Floor: 2;  Construction year: 2014
Отдельный дом ,160 000 000 〒,"Наурызбайский р-н, Ашимова",Наурызбайский,5,220,Floor: 3
Отдельный дом ,299 999 999 〒,"Бостандыкский р-н, Абиша Кекилбаева 131Б",Бостандыкский,4,180,Floor: 2;  Construction year: 2004
Отдельный дом ,662 000 000 〒,"Медеуский р-н, Нурмагамбетова — Богенбай батыра",Медеуский,7,475,Floor: 3
Отдельный дом ,41 000 000 〒,"Алатауский р-н, мкр Айгерим-2, Текес 91 91 — Уг бенберина",Алатауский,4,80,Floor: 1;  Construction year: 2006
Отдельный дом ,38 500 000 〒,"Алатауский р-н, мкр Ожет — 156 школа",Алатауский,5,113,Floor: 1;  Construction year: 1984
Отдельный дом ,760 000 000 〒,"Медеуский р-н, Диваева 4126 — Диваева аль фараби",Медеуский,6,600,Floor: 2;  Construction year: 2024
Отдельный дом ,80 000 000 〒,"Жетысуский р-н, Белорусская 66",Жетысуский,6,180,Floor: 2;  Construction year: 2001
Отдельный дом ,70 000 000 〒,"Ауэзовский р-н, Терме",Ауэзовский,3,63.3,Construction year: 1971
Отдельный дом ,115 000 000 〒,"Наурызбайский р-н, мкр Жайлы 60/1",Наурызбайский,4,130,Floor: 2;  Construction year: 1999
Отдельный дом ,700 000 000 〒,"Медеуский р-н, Фонвизина 30",Медеуский,5,270,
Отдельный дом ,58 000 000 〒,"Алатауский р-н, мкр Туркестан — Аксу 55",Алатауский,4,100,
Отдельный дом ,285 000 000 〒,"Бостандыкский р-н, Байшешек 78",Бостандыкский,8,500,Floor: 3;  Construction year: 2009
Отдельный дом ,280 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",Бостандыкский,7,415,Floor: 2;  Construction year: 2015
Отдельный дом ,100 000 000 〒,"Алатауский р-н, мкр Айгерим-2, Сайна Жана -Гасыр 31 — Сайна Жана -Гасыр",Алатауский,8,360,Floor: 4;  Construction year: 2010
Отдельный дом ,175 000 000 〒,Маметовой 1а,,4,200,Floor: 1
Отдельный дом ,405 000 000 〒,"Ауэзовский р-н, Ыкылас 11",Ауэзовский,7,390,Floor: 2;  Construction year: 2021
Отдельный дом ,1 537 800 000 〒,"Бостандыкский р-н, Горный гигант — Жамакаева",Бостандыкский,6,730,Floor: 3;  Construction year: 2023
Отдельный дом ,54 000 000 〒,"Турксибский р-н, мкр Кайрат, Мкр Айша биби — Рыскулова Волочаевская",Турксибский,5,100.1,Floor: 1;  Construction year: 2003
Отдельный дом ,65 000 000 〒,"Турксибский р-н, мкр Нуршашкан (Колхозши)",Турксибский,5,180,Floor: 2;  Construction year: 2012
Отдельный дом ,290 000 000 〒,"Медеуский р-н, Халиуллина 208/8",Медеуский,8,450,Floor: 2;  Construction year: 2017
Отдельный дом ,89 000 000 〒,"Наурызбайский р-н, мкр Каргалы, Козыбасы 12 — Козыбасы",Наурызбайский,6,350,Floor: 3;  Construction year: 2018
Отдельный дом ,59 000 000 〒,"Алатауский р-н, мкр Заря Востока — Джансугурова",Алатауский,4,100,Construction year: 2008
Отдельный дом ,32 000 000 〒,"Наурызбайский р-н, мкр Акжар, Куртка 21",Наурызбайский,3,66.9,Construction year: 2004
Отдельный дом ,83 500 000 〒,"Бостандыкский р-н, мкр Ерменсай, улица Вишневая 46",Бостандыкский,2,55.6,Floor: 2
Часть дома ,26 999 999 〒,"Турксибский р-н, Шемякина",Турксибский,3,65,Floor: 1;  Construction year: 1957
Отдельный дом ,70 000 000 〒,"Наурызбайский р-н, мкр Акжар, Ул.Усикова 18",Наурызбайский,3,95,Floor: 2;  Construction year: 2005
Отдельный дом ,120 000 000 〒,"Бостандыкский р-н, мкр Актобе",Бостандыкский,5,262,Floor: 2;  Construction year: 2020
Отдельный дом ,44 000 000 〒,"Медеуский р-н, Шухова 15 — Восточная Объездная",Медеуский,4,78,Floor: 1;  Construction year: 1970
Отдельный дом ,69 000 000 〒,"Медеуский р-н, Есенберлина",Медеуский,3,117,Floor: 1;  Construction year: 2002
Отдельный дом ,290 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Талапты 43",Бостандыкский,10,608.3,Floor: 2;  Construction year: 2024
Отдельный дом ,82 000 000 〒,"Алатауский р-н, мкр Алгабас — Кетбуга жырау - Акбопе",Алатауский,6,241,Floor: 2;  Construction year: 2019
Отдельный дом ,60 000 000 〒,"Ауэзовский р-н, мкр №11, Лазарева 73",Ауэзовский,3,48.2,Floor: 1;  Construction year: 1970
Отдельный дом ,52 000 000 〒,"Наурызбайский р-н, мкр Акжар 1 — Белибаева",Наурызбайский,4,100,Floor: 1;  Construction year: 2007
Отдельный дом ,46 900 000 〒,"Бостандыкский р-н, Труд 11",Бостандыкский,3,60,Floor: 2;  Construction year: 2014
Дача ,38 000 000 〒,"Тастыбулак, Зеленая Долина 16",,36,36,
Часть дома ,30 000 000 〒,Таңдаулы сенім 71 — Наурыз,,3,180,Floor: 1;  Construction year: 2019
Отдельный дом ,98 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Аспандиярова 100",Наурызбайский,6,205,Floor: 2
Отдельный дом ,550 000 000 〒,"Медеуский р-н, мкр Бутаковка 62",Медеуский,6,307,Floor: 2;  Construction year: 2014
Отдельный дом ,16 000 000 〒,Жайык 15 — Қошманбетке жетпей Жайық деген ауыл,,2,70,Floor: 1;  Construction year: 2023
Отдельный дом ,290 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Талапты 43",Бостандыкский,10,608.3,Floor: 2;  Construction year: 2024
Отдельный дом ,52 000 000 〒,"Наурызбайский р-н, мкр Акжар 1 — Белибаева",Наурызбайский,4,100,Floor: 1;  Construction year: 2007
Отдельный дом ,82 000 000 〒,"Алатауский р-н, мкр Алгабас — Кетбуга жырау - Акбопе",Алатауский,6,241,Floor: 2;  Construction year: 2019
Отдельный дом ,900 000 000 〒,"Бостандыкский р-н, Дулати",Бостандыкский,7,1000,Floor: 3;  Construction year: 2014
Часть дома ,110 000 000 〒,"Ауэзовский р-н, мкр Жазира, Мкр Алмас 27",Ауэзовский,5,242,Floor: 3;  Construction year: 1995
Отдельный дом ,105 000 000 〒,"Наурызбайский р-н, мкр Акжар — Абдыхаликова Молдагалиева",Наурызбайский,5,178.9,Floor: 2;  Construction year: 2021
Отдельный дом ,35 900 000 〒,"Алатауский р-н, мкр Алгабас, Калампыр 7 — Кара жорга",Алатауский,4,107,Floor: 1;  Construction year: 1972
Отдельный дом ,83 000 000 〒,"Турксибский р-н, Жас канат 244",Турксибский,5,190,Floor: 2;  Construction year: 2011
Отдельный дом ,98 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Аспандиярова 100",Наурызбайский,6,205,Floor: 2
Отдельный дом ,16 000 000 〒,Жайык 15 — Қошманбетке жетпей Жайық деген ауыл,,2,70,Floor: 1;  Construction year: 2023
Отдельный дом ,68 000 000 〒,"Медеуский р-н, мкр Думан-2, Алатау 20 — Бишкек",Медеуский,6,150.2,Floor: 2;  Construction year: 2012
Отдельный дом ,41 000 000 〒,"Турксибский р-н, мкр Жас Канат 42/1",Турксибский,4,90,Floor: 1;  Construction year: 2014
Отдельный дом ,520 000 000 〒,"Бостандыкский р-н, мкр Баганашыл",Бостандыкский,7,600,Floor: 3;  Construction year: 2024
Отдельный дом ,1 500 000 000 〒,"Наурызбайский р-н, мкр Курамыс 114е",Наурызбайский,12,1400,Floor: 4;  Construction year: 2016
Отдельный дом ,766 111 111 〒,"Медеуский р-н, Ондасынова — П. Юбилейный",Медеуский,6,470,Floor: 3;  Construction year: 2005
Отдельный дом ,550 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Жамакаева",Медеуский,7,560,Floor: 3;  Construction year: 2023
Часть дома ,31 000 000 〒,Вольная 007 — Сейфулина Ташкенская,,2,55,Floor: 1;  Construction year: 1968
Отдельный дом ,100 000 000 〒,"Медеуский р-н, Есенберлина — Средняя",Медеуский,6,150,Floor: 2;  Construction year: 2023
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Шанырак-2 52А — Тойшыбек батыра",Алатауский,5,103.1,Construction year: 2018
Отдельный дом ,750 000 000 〒,"Медеуский р-н, Оспанова 83",Медеуский,6,569,Floor: 3;  Construction year: 2013
Отдельный дом ,125 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 222",Наурызбайский,7,270,Floor: 2;  Construction year: 2011
Отдельный дом ,460 000 000 〒,"Бостандыкский р-н, мкр Алмагуль, Козыбаева — Ходжанова",Бостандыкский,6,503,Floor: 2;  Construction year: 2012
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Шанырак-2 52А — Тойшыбек батыра",Алатауский,5,103.1,Construction year: 2018
Отдельный дом ,750 000 000 〒,"Медеуский р-н, Оспанова 83",Медеуский,6,569,Floor: 3;  Construction year: 2013
Отдельный дом ,70 000 000 〒,"Алатауский р-н, мкр Шанырак-1 — Махамбет Отемисулы",Алатауский,7,226,Floor: 2;  Construction year: 1998
Отдельный дом ,126 000 000 〒,"Наурызбайский р-н, мкр Жайлы 17",Наурызбайский,5,180,Floor: 2
Отдельный дом ,750 000 000 〒,"Медеуский р-н, Бекхожина 10",Медеуский,6,350,Floor: 2;  Construction year: 2024
Отдельный дом ,87 000 000 〒,"Турксибский р-н, мкр Кайрат",Турксибский,4,145,Floor: 1;  Construction year: 2021
Отдельный дом ,125 000 000 〒,"Алатауский р-н, мкр Акбулак, Мамутова",Алатауский,7,300,Floor: 2;  Construction year: 2019
Отдельный дом ,230 000 000 〒,"Медеуский р-н, Ахмедсафина — Базарбаева",Медеуский,10,530,Floor: 2;  Construction year: 2022
Отдельный дом ,72 000 000 〒,"Алатауский р-н, мкр Мадениет, ул. Мухит Мералыулы 46",Алатауский,7,215,Floor: 1;  Construction year: 2022
Дача ,15 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 6",Наурызбайский,3,30,Floor: 1
Отдельный дом ,24 000 000 〒,"Алатауский р-н, мкр Алгабас, Баршын 26 — Фариза Онгарсынова",Алатауский,3,67,Floor: 1;  Construction year: 1987
Отдельный дом ,302 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Жамакаева -Сызганова",Медеуский,7,360,Floor: 3;  Construction year: 2020
Отдельный дом ,100 000 000 〒,"Наурызбайский р-н, мкр Карагайлы",Наурызбайский,6,212,Floor: 2;  Construction year: 2025
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Таусамалы — ул. Арман",Наурызбайский,5,328,Floor: 2;  Construction year: 2020
Отдельный дом ,155 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, Кабден Байдосова 44",Бостандыкский,5,190,Floor: 2;  Construction year: 2022
Отдельный дом ,55 000 000 〒,"Медеуский р-н, Лисаковская 84 — Беимбетова",Медеуский,4,140,Floor: 1;  Construction year: 2020
Отдельный дом ,85 000 000 〒,"Алатауский р-н, мкр 6-й градокомплекс, Мкр 6-й градокомплекс 23 — Кошкарбаева-Укили Ыбырай",Алатауский,6,140,Floor: 1;  Construction year: 2009
Отдельный дом ,225 000 000 〒,"Алатауский р-н, мкр Дархан",Алатауский,5,410,Floor: 3;  Construction year: 2023
Отдельный дом ,40 000 000 〒,"Алатауский р-н, мкр Коккайнар, Акшагыл 97/6",Алатауский,3,45,
Часть дома ,33 000 000 〒,"Турксибский р-н, Хетагурова 18",Турксибский,4,96,Floor: 1;  Construction year: 1962
Отдельный дом ,58 000 000 〒,"Медеуский р-н, Уштобинская 12 — Лисаковская",Медеуский,6,154,Floor: 1;  Construction year: 1960
Отдельный дом ,47 000 000 〒,"Медеуский р-н, мкр Алатау (ИЯФ) — Черемушки",Медеуский,3,80,Floor: 1;  Construction year: 2018
Отдельный дом ,150 000 000 〒,"Бостандыкский р-н, мкр Баганашыл — Тан",Бостандыкский,5,261,Floor: 3;  Construction year: 2000
Часть дома ,26 500 000 〒,"Турксибский р-н, Шемякина 240 — Малина",Турксибский,3,80,Floor: 1;  Construction year: 1968
Часть дома ,45 000 000 〒,"Жетысуский р-н, Саянская — Герцена",Жетысуский,5,69,Floor: 1;  Construction year: 1976
Отдельный дом ,1 200 000 000 〒,"Бостандыкский р-н, Садыкова — Аль фараби",Бостандыкский,10,1200,Floor: 4;  Construction year: 2023
Отдельный дом ,105 000 000 〒,"Турксибский р-н, Кассина — Айбасова",Турксибский,7,240,Floor: 2;  Construction year: 2008
Отдельный дом ,230 000 000 〒,"Медеуский р-н, Тюленина 23",Медеуский,7,370,Floor: 3;  Construction year: 2022
Отдельный дом ,110 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, СТ. Шетен",Наурызбайский,7,180,Floor: 2;  Construction year: 2012
Отдельный дом ,350 000 000 〒,"Медеуский р-н, мкр Алатау (ИЯФ), Данеш Ракишев 19",Медеуский,5,430.6,Floor: 2;  Construction year: 2014
Отдельный дом ,750 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Аль фараби",Медеуский,7,725,Floor: 4;  Construction year: 2019
Отдельный дом ,630 000 000 〒,"Медеуский р-н, Жанибекова — Омарова",Медеуский,10,600,Floor: 2
Дача ,10 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак",Наурызбайский,3,50,
Часть дома ,65 900 000 〒,"Бостандыкский р-н, Сеченова 6/1 — Пр Гагарина уг.Утепова",Бостандыкский,4,104,Construction year: 1973
Отдельный дом ,130 000 000 〒,"Медеуский р-н, мкр Думан-1 — Конечная 4 го автобуса",Медеуский,18,450,Floor: 2;  Construction year: 2020
Отдельный дом ,150 000 000 〒,"Наурызбайский р-н, мкр Рахат",Наурызбайский,6,460,Floor: 3;  Construction year: 2007
Отдельный дом ,165 000 000 〒,"Бостандыкский р-н, Свежесть 64",Бостандыкский,5,230,Floor: 3
Отдельный дом ,40 000 000 〒,"Алатауский р-н, мкр Мадениет 44",Алатауский,4,111.4,Construction year: 2019
Отдельный дом ,220 000 000 〒,"Медеуский р-н, Багланова 60",Медеуский,5,250,Floor: 2;  Construction year: 2008
Отдельный дом ,80 000 000 〒,Өтей бойдақ 17,,5,320,Floor: 1;  Construction year: 2003
Отдельный дом ,48 000 000 〒,"Алатауский р-н, мкр Карасу, Шаяхметова 5 — Баганалы орда",Алатауский,3,252,Floor: 1;  Construction year: 2017
Отдельный дом ,250 000 000 〒,"Алатауский р-н, мкр Заря Востока — Шотаманулы - Юсуп цунвазо",Алатауский,8,503.7,Floor: 3;  Construction year: 2011
Отдельный дом ,64 000 000 〒,"Медеуский р-н, Марата Оспанова 88",Медеуский,5,210,Floor: 2;  Construction year: 2023
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Айгерим-2",Алатауский,4,130,Floor: 1;  Construction year: 2003
Часть дома ,28 000 000 〒,"Жетысуский р-н, Ботаническая 52 — Сейфуллина Рыскулова",Жетысуский,4,88,Floor: 1;  Construction year: 1982
Часть дома ,28 000 000 〒,"Жетысуский р-н, Гончарова 56/3 56",Жетысуский,3,56,Floor: 1
Часть дома ,30 500 000 〒,"Медеуский р-н, Щучинская 20 а — Погодина",Медеуский,6,126.9,Floor: 2;  Construction year: 1991
Дача ,15 000 000 〒,Баитерек 9,,2,51,Floor: 1;  Construction year: 2024
Отдельный дом ,157 000 000 〒,"Наурызбайский р-н, Жунисова 133/331",Наурызбайский,6,450,Floor: 3
Отдельный дом ,41 000 000 〒,"Алатауский р-н, мкр 6-й градокомплекс, Мкр 6-й градокомплекс Балпык би 15/6 — Магазин Асыл.",Алатауский,2,40,Floor: 1;  Construction year: 2017
Часть дома ,25 000 000 〒,"Алатауский р-н, мкр Шанырак-2, БілгеҚаған 16А",Алатауский,8,60,Floor: 1;  Construction year: 2001
Отдельный дом ,69 000 000 〒,"Алатауский р-н, мкр Шанырак-2 12 — Оспанхан Аубакирова",Алатауский,5,120,Floor: 1;  Construction year: 2006
Отдельный дом ,95 000 000 〒,"Медеуский р-н, мкр Алатау (ИЯФ) 21 — Карасай батыр",Медеуский,7,250,Floor: 2;  Construction year: 2017
Отдельный дом ,240 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Нурпеисова 109",Наурызбайский,8,514,Floor: 2;  Construction year: 2007
Отдельный дом ,50 000 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское), Кузнецова 35 — ул. Королева",Жетысуский,4,95,Floor: 1;  Construction year: 1969
Отдельный дом ,340 000 000 〒,"Медеуский р-н, мкр Горный Гигант, Тайманова 145",Медеуский,8,486.3,Floor: 2;  Construction year: 2005
Отдельный дом ,100 000 000 〒,"Алатауский р-н, мкр Улжан-1 48",Алатауский,9,252,Floor: 3;  Construction year: 2011
Отдельный дом ,88 000 000 〒,"Турксибский р-н, мкр Кайрат, Ханшайым 4 — Остановка",Турксибский,4,160,Floor: 1;  Construction year: 2008
Отдельный дом ,24 000 000 〒,Прудхозная 15,,4,63,Floor: 1;  Construction year: 2006
Отдельный дом ,4 000 000 〒,"Медеуский р-н, мкр Кенсай — улица шокая.",Медеуский,3,35,Floor: 2
Отдельный дом ,135 000 000 〒,"Бостандыкский р-н, Дулати 127 — Поворот на Феличиту",Бостандыкский,8,365,Floor: 2;  Construction year: 2007
Отдельный дом ,33 000 000 〒,4-новая 29 — Сералин,,6,150,Floor: 1;  Construction year: 2023
Часть дома ,23 000 000 〒,"Алатауский р-н, мкр Ожет, ЖанайдарСадуакасова 16/2",Алатауский,5,80,Floor: 1;  Construction year: 2000
Отдельный дом ,62 000 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское) — Комплекс Тройник, Сералина",Жетысуский,5,205.3,Floor: 1;  Construction year: 2005
Отдельный дом ,128 000 000 〒,"Ауэзовский р-н, мкр Таугуль, Виноградная — Саина",Ауэзовский,4,350,Floor: 2;  Construction year: 2010
Отдельный дом ,78 000 000 〒,"Медеуский р-н, Пензенская — ВОАД",Медеуский,4,130,Floor: 1;  Construction year: 2006
Часть дома ,30 000 000 〒,"Турксибский р-н, Мопра 8",Турксибский,3,85,
Отдельный дом ,120 000 000 〒,"Наурызбайский р-н, мкр Таусамалы — Джандосова Яссауи",Наурызбайский,5,230,Floor: 2;  Construction year: 2011
Отдельный дом ,59 999 999 〒,"Наурызбайский р-н, мкр Акжар 13/1 — Камысдала",Наурызбайский,7,200,Floor: 1;  Construction year: 2007
Часть дома ,24 000 000 〒,"Турксибский р-н, Рабочая 7 — Сейфуллина",Турксибский,3,50,Floor: 1;  Construction year: 1959
Отдельный дом ,50 000 000 〒,"Бостандыкский р-н, мкр Орбита-1, Рыскулбекова Эйлера 14/1 — Навои Торайгырова",Бостандыкский,4,115.4,Floor: электроснабжение).;  Construction year: 1960
Часть дома ,23 000 000 〒,"Жетысуский р-н, Шилова 6",Жетысуский,3,40,Floor: 1
